model_name,term_pair,avg_score
deepseek/deepseek-chat,"""null"",test",0.972
deepseek/deepseek-chat,"adapt,convent",0.163
deepseek/deepseek-chat,"area,small",0.876
deepseek/deepseek-chat,"articl,avail",0.153
deepseek/deepseek-chat,"articl,materi",0.103
deepseek/deepseek-chat,"articl,onlin",0.162
deepseek/deepseek-chat,"articl,supplement",0.225
deepseek/deepseek-chat,"asymptot,normal",0.998
deepseek/deepseek-chat,"avail,materi",0.17
deepseek/deepseek-chat,"avail,onlin",0.247
deepseek/deepseek-chat,"avail,supplement",0.238
deepseek/deepseek-chat,"bay,posterior",1.0
deepseek/deepseek-chat,"bay,prior",0.999
deepseek/deepseek-chat,"bootstrap,modif",0.093
deepseek/deepseek-chat,"bound,restrict",0.494
deepseek/deepseek-chat,"carlo,chain",0.984
deepseek/deepseek-chat,"carlo,mont",0.998
deepseek/deepseek-chat,"carri,variat",0.196
deepseek/deepseek-chat,"censor,surviv",0.997
deepseek/deepseek-chat,"chain,markov",0.999
deepseek/deepseek-chat,"chain,mont",0.964
deepseek/deepseek-chat,"classif,learn",0.997
deepseek/deepseek-chat,"clinic,rule",0.16
deepseek/deepseek-chat,"clinic,treatment",0.997
deepseek/deepseek-chat,"clinic,tri",0.997
deepseek/deepseek-chat,"coeffici,vari",0.831
deepseek/deepseek-chat,"confid,interv",0.998
deepseek/deepseek-chat,"design,indic",0.179
deepseek/deepseek-chat,"differenti,equat",0.995
deepseek/deepseek-chat,"dimens,high",0.974
deepseek/deepseek-chat,"dimens,reduc",0.996
deepseek/deepseek-chat,"dimens,suffici",0.541
deepseek/deepseek-chat,"diseas,risk",0.998
deepseek/deepseek-chat,"dynam,system",0.97
deepseek/deepseek-chat,"error,measur",0.999
deepseek/deepseek-chat,"establish,properti",0.324
deepseek/deepseek-chat,"expect,rule",0.102
deepseek/deepseek-chat,"express,gene",0.995
deepseek/deepseek-chat,"factor,latent",1.0
deepseek/deepseek-chat,"fail,time",0.765
deepseek/deepseek-chat,"first,second",0.412
deepseek/deepseek-chat,"gaussian,graph",0.988
deepseek/deepseek-chat,"gene,genet",0.998
deepseek/deepseek-chat,"gene,individu",0.563
deepseek/deepseek-chat,"hypothes,""null""",0.979
deepseek/deepseek-chat,"hypothes,test",1.0
deepseek/deepseek-chat,"improv,util",0.221
deepseek/deepseek-chat,"learn,rule",0.61
deepseek/deepseek-chat,"least,squar",1.0
deepseek/deepseek-chat,"linear,nonlinear",0.997
deepseek/deepseek-chat,"loss,penal",0.995
deepseek/deepseek-chat,"low,rank",0.994
deepseek/deepseek-chat,"materi,onlin",0.164
deepseek/deepseek-chat,"materi,supplement",0.246
deepseek/deepseek-chat,"matric,precis",0.658
deepseek/deepseek-chat,"mean,varianc",1.0
deepseek/deepseek-chat,"misspecif,robust",0.979
deepseek/deepseek-chat,"onlin,supplement",0.278
deepseek/deepseek-chat,"optim,rule",0.521
deepseek/deepseek-chat,"order,second",0.811
deepseek/deepseek-chat,"outcom,patient",0.995
deepseek/deepseek-chat,"outcom,treatment",1.0
deepseek/deepseek-chat,"penal,select",0.973
deepseek/deepseek-chat,"posterior,prior",1.0
deepseek/deepseek-chat,"power,test",0.992
deepseek/deepseek-chat,"predict,reduc",0.457
deepseek/deepseek-chat,"proport,surviv",0.864
deepseek/deepseek-chat,"reduc,suffici",0.282
deepseek/deepseek-chat,"score,specif",0.355
deepseek/deepseek-chat,"seri,time",0.99
deepseek/deepseek-chat,"treatment,tri",0.996
