model_name,prompt_position,avg_score
deepseek/deepseek-chat,1,0.718
deepseek/deepseek-chat,2,0.727
deepseek/deepseek-chat,3,0.759
deepseek/deepseek-chat,4,0.745
deepseek/deepseek-chat,5,0.717
deepseek/deepseek-chat,6,0.702
deepseek/deepseek-chat,7,0.695
deepseek/deepseek-chat,8,0.729
deepseek/deepseek-chat,9,0.708
deepseek/deepseek-chat,10,0.698
deepseek/deepseek-chat,11,0.716
deepseek/deepseek-chat,12,0.712
deepseek/deepseek-chat,13,0.722
deepseek/deepseek-chat,14,0.726
deepseek/deepseek-chat,15,0.732
deepseek/deepseek-chat,16,0.74
deepseek/deepseek-chat,17,0.717
deepseek/deepseek-chat,18,0.713
deepseek/deepseek-chat,19,0.683
deepseek/deepseek-chat,20,0.711
deepseek/deepseek-chat,21,0.71
deepseek/deepseek-chat,22,0.698
deepseek/deepseek-chat,23,0.695
deepseek/deepseek-chat,24,0.709
deepseek/deepseek-chat,25,0.69
deepseek/deepseek-chat,26,0.721
deepseek/deepseek-chat,27,0.709
deepseek/deepseek-chat,28,0.742
deepseek/deepseek-chat,29,0.705
deepseek/deepseek-chat,30,0.693
deepseek/deepseek-chat,31,0.712
deepseek/deepseek-chat,32,0.697
deepseek/deepseek-chat,33,0.709
deepseek/deepseek-chat,34,0.71
deepseek/deepseek-chat,35,0.7
deepseek/deepseek-chat,36,0.715
deepseek/deepseek-chat,37,0.714
deepseek/deepseek-chat,38,0.71
deepseek/deepseek-chat,39,0.689
deepseek/deepseek-chat,40,0.71
deepseek/deepseek-chat,41,0.682
deepseek/deepseek-chat,42,0.702
deepseek/deepseek-chat,43,0.705
deepseek/deepseek-chat,44,0.684
deepseek/deepseek-chat,45,0.707
deepseek/deepseek-chat,46,0.702
deepseek/deepseek-chat,47,0.711
deepseek/deepseek-chat,48,0.701
deepseek/deepseek-chat,49,0.691
deepseek/deepseek-chat,50,0.689
deepseek/deepseek-chat,51,0.7
deepseek/deepseek-chat,52,0.706
deepseek/deepseek-chat,53,0.705
deepseek/deepseek-chat,54,0.681
deepseek/deepseek-chat,55,0.694
deepseek/deepseek-chat,56,0.701
deepseek/deepseek-chat,57,0.674
deepseek/deepseek-chat,58,0.728
deepseek/deepseek-chat,59,0.714
deepseek/deepseek-chat,60,0.711
deepseek/deepseek-chat,61,0.73
deepseek/deepseek-chat,62,0.704
deepseek/deepseek-chat,63,0.702
deepseek/deepseek-chat,64,0.711
deepseek/deepseek-chat,65,0.683
deepseek/deepseek-chat,66,0.694
deepseek/deepseek-chat,67,0.715
deepseek/deepseek-chat,68,0.698
deepseek/deepseek-chat,69,0.692
deepseek/deepseek-chat,70,0.689
deepseek/deepseek-chat,71,0.653
